milestone_id,cycle_template_id,milestone_order,expected_day_offset,milestone_name,milestone_type,notification_title,milestone_details,personalised insights (dashboard) - medical_information,personalised insights (dashboard) what_to_expect,personalised insights (dashboard) todays_tips
FET_MONITORING_BLOODS,FET,2,8,Monitoring blood test,blood_test,Blood Test Reminder,Blood test checks hormone levels. ,Estrogen starts to surge as the dominant follicle matures and prepares to release an egg. ,"You may feel energized and optimistic, with libido often at its highest, clearer skin, and peak stamina, though some notice ovulation twinges or mild bloating.
","Prioritise workouts, social activities, nutrient-dense meals with healthy fats. Monitor your cervical mucus for ovulation. "
FET_MONITORING_SCAN,FET,3,10,Monitoring ultrasound,ultrasound,Ultrasound Reminder,Ultrasound checks lining and follicle growth.,Estrogen starts to surge as the dominant follicle matures and prepares to release an egg. ,"You may feel energized and optimistic, with libido often at its highest, clearer skin, and peak stamina, though some notice ovulation twinges or mild bloating.
","Prioritise workouts, social activities, nutrient-dense meals with healthy fats. Monitor your cervical mucus for ovulation. "
FET_LH_OV,FET,4,14,Ovulation detected,ovulation,Ovulation Day,Ovulation is detected and egg is released or triggered.,"Your egg is releasing (or ready with trigger) as the mature follicle ruptures, while LH surges and progesterone begins rising to support the new corpus luteum. ",You may feel a mild one-sided twinges from the follicle release or some brief spotting or bloating. ,"Embrace high-intensity exercise if it feels good, focus on antioxidant-rich foods. "
FET_TRIGGER,FET,5,14,Trigger injection,medication,Trigger Injection,Trigger injection ensures ovulation occurs at the right time.,"Trigger shot mimics the natural LH surge, prompting the ovaries to finalise egg maturation and detach the egg from the follicle wall about 36 hours later.
",You may feel a mild one-sided twinges from the follicle release or some brief spotting or bloating. ,"Embrace high-intensity exercise if it feels good, focus on antioxidant-rich foods. "
FET_PROGESTERONE_START,FET,6,15,Progesterone starts,medication,Progesterone Starts,Progesterone supports the uterine lining.,"Progesterone support starts as the corpus luteum forms post-ovulation (or trigger), supplementing natural progesterone to maintain and thicken the endometrium for potential implantation","You may feel calmer or more fatigued with possible bloating, breast tenderness, or mild mood shifts from rising progesterone,","Prioritise gentle exercise like yoga, progesterone-friendly foods (magnesium-rich like nuts and greens), adequate rest, and follow clinic dosing/timing while avoiding high-impact activities if sensitive."
FET_TRANSFER,FET,7,19,Embryo transfer,procedure,Embryo Transfer,Thawed embryo is placed into your uterus.,"Once implanted the embryo will attempt to burrow or attach to the lining. If attached, hCG will start to rise from day 9-10 post transfer. ","You may feel bloated, crampy, or fatigued from meds and the procedure, with possible light spotting, breast tenderness, or mild anxiety,","Prioritise bed rest post-transfer, gentle walks only, progesterone-friendly foods (magnesium-rich like nuts and greens), hydration, and avoid heavy lifting while following your clinic's two-week wait guidance."
FET_PREGNANCY_TEST,FET,8,29,Pregnancy blood test,blood_test,Pregnancy Test,Checks hCG levels to see if the embryo implanted successfully.,"If attached, hCG will start to rise from day 9-10, signaling the body to sustain the pregnancy.","You may feel bloated, crampy, or fatigued from meds and the procedure, with possible light spotting, breast tenderness, or mild anxiety,","Prioritise bed rest post-transfer, gentle walks only, progesterone-friendly foods (magnesium-rich like nuts and greens), hydration, and avoid heavy lifting while following your clinic's two-week wait guidance."
EGG_FREEZ_DAY1_PERIOD,EGG_FREEZ,1,1,Cycle day 1,cycle_start,Cycle Day 1,Day 1 period marks the start of a new cycle. ,"Progesterone and estrogen levels drop, triggering the uterine lining to shed. By around day 5, FSH and estrogen begin to rise, promoting follicle growth in the ovaries and rebuilding the endometrium","During early follicular days 1-5, low hormones often bring fatigue, cramps, bloating, and low or irritable moods, though energy may start lifting by day 5 as estrogen rises.","Prioritise rest, gentle movement like walking or yoga, warm compresses for cramps, iron-rich foods to counter blood loss, and hydration to ease bloating and fatigue."
EGG_FREEZ_BASELINE_BLOODS,EGG_FREEZ,2,2,Baseline blood test,blood_test,Baseline Blood Test,Blood test to check baseline hormones to prepare for stims. ,"Baseline IVF blood test measures FSH, estradiol, LH, and progesterone to confirm cycle start before launching stimulation injections.
","You may feel typical early period symptoms like cramps or fatigue, plus brief arm soreness from the blood draw, with no major shifts yet.","Prioritise rest, gentle movement, iron-rich foods to counter blood loss, and hydration to ease bloating and fatigue. Prepare any questions for your clinic ahead of stim protocol. "
EGG_FREEZ_STIMULATION_START,EGG_FREEZ,3,2,Stimulation injections start,medication,Stimulation Begins,Start stimulation medication,"Daily FSH/LH injections work to recruit multiple ovarian follicles to grow mature eggs for IVF retrieval.
","You may feel bloating, mild ovarian tenderness, or fatigue as follicles enlarge, with energy still low from early cycle but mood lifting soon.","Prioritize light walks, high-protein meals, hydration to counter bloating, and attend monitoring scans while avoiding alcohol and caffeine excess."
EGG_FREEZ_MONITORING_BLOODS,EGG_FREEZ,4,6,Monitoring blood test,blood_test,Blood Test Reminder,Blood test checks hormone levels. ,Estrogen starts to surge as the dominant follicle matures and prepares to release an egg. ,"You may feel energized and optimistic, with libido often at its highest, clearer skin, and peak stamina, though some notice ovulation twinges or mild bloating.
","Prioritise workouts, social activities, nutrient-dense meals with healthy fats. Monitor your cervical mucus for ovulation. "
EGG_FREEZ_MONITORING_SCAN,EGG_FREEZ,5,6,Monitoring ultrasound,ultrasound,Ultrasound Reminder,"A transvaginal probe is used to measure follicle sizes, count developing eggs, and check endometrial thickness for optimal timing.
​","Follicles grow under FSH meds, ovaries enlarge slightly, and rising estrogen prepares multiple eggs while thickening the uterine lining","You may feel increasing bloating, ovarian fullness or tenderness, mood swings from high estrogen, and fatigue, with possible headaches or breast sensitivity.","Attend scan with an empty bladder for comfort, wear loose clothes, track any spotting or pain, and hydrate well. "
EGG_FREEZ_ANTAGONIST_START,EGG_FREEZ,6,7,Antagonist injections start,medication,Antagonist Injection,"Antagonist injections are introduced to block premature LH surges, preventing early ovulation while follicles continue maturing. 
",Follicles continue growing under FSH stimulation while the antagonist suppresses LH to prevent premature ovulation. ,You may notice slightly more bloating or injection site reactions alongside ongoing ovarian fullness and rising estrogen effects like mood swings or breast tenderness.,"Stick to your injection schedule precisely, maintain high-protein hydration, attend scans as scheduled, and report severe symptoms like intense pain to your clinic promptly."
EGG_FREEZ_TRIGGER,EGG_FREEZ,7,11,Trigger injection,medication,Trigger Injection,Trigger injection ensures ovulation occurs at the right time.,"Trigger shot mimics the natural LH surge, prompting the ovaries to finalise egg maturation and detach the egg from the follicle wall about 36 hours later.
",You may feel a mild one-sided twinges from the follicle release or some brief spotting or bloating. ,"Embrace high-intensity exercise if it feels good, focus on antioxidant-rich foods. "
EGG_FREEZ_RETRIEVAL,EGG_FREEZ,8,13,Egg retrieval,procedure,Egg Retrieval,Egg retrieval uses a needle guided by ultrasound to aspirate mature eggs from ovarian follicles under light sedation. ,"Ovaries are at peak size with eggs collected for lab fertilization, while the body begins corpus luteum formation and rising progesterone.","You may feel groggy post-sedation, bloated or crampy from ovarian fullness, with possible spotting, nausea, or fatigue from OHSS risk","Rest fully that day with a support person, avoid driving or lifting, stay hydrated with light meals, and watch for severe pain or shortness of breath to contact your clinic."
EGG_FREEZ_EGG_FREEZE,EGG_FREEZ,9,13,Eggs frozen,lab_update,Eggs Frozen,Eggs are safely frozen using vitrification (flash-freezing with cryoprotectants) preserving them for future use. ,"In the lab, quality eggs are selected, water removed from cells, and they're rapidly cooled for long-term storage while your body recovers post-retrieval with dropping estrogen.","You may still feel bloated, crampy, or fatigued from meds and the procedure. ","Rest and hydrate during recovery, avoid strenuous activity for a few days, eat anti-inflammatory foods. "
